timestamp,AccX,AccY,AccZ,LinearAccelerometerSensor
1749047870518,-0.22492532432079315,5.687739372253418,7.698906898498535,2.076773526711567
1749047870541,,,,2.1259968607279154
1749047870555,,5.496912002563477,9.095118522644043,
1749047870556,-0.5647061467170715,,8.528617858886719,
1749047870573,,,,1.4531010451444533
1749047870609,-0.722034215927124,5.764309883117676,7.725826263427734,
1749047870611,,,,1.6740855638838976
1749047870643,,,,1.6499780624549654
1749047870660,-0.6119644045829773,5.673980712890625,7.434499740600586,
1749047870678,,,,1.4484877889353518
1749047870713,,5.587839126586914,,
1749047870714,-0.7316055297851562,5.516054630279541,8.080561637878418,1.5340329785438949
1749047870747,,,,1.7726737911319825
1749047870765,-0.4163511395454407,5.50648307800293,7.641479015350342,
1749047870782,,,,1.5233162073609807
1749047870817,-0.7316055297851562,5.635695457458496,7.817351341247559,1.467017755246256
1749047870851,,,,1.8140111740171911
1749047870869,,5.5591254234313965,,
1749047870870,-0.37806597352027893,,8.392227172851562,
1749047870886,,,,1.8472869697575047
1749047870924,,5.683551788330078,,
1749047870925,-0.5497509837150574,5.721837043762207,7.8795647621154785,1.5540066862563897
1749047870956,,,,1.6818637677699708
1749047870973,-0.46899324655532837,5.554339408874512,8.23430061340332,
1749047870990,,,,1.6279555366171001
1749047871025,,5.678766250610352,,
1749047871026,-0.7794619798660278,5.669195175170898,7.859824180603027,1.4218510217007185
1749047871060,,,,1.6620393014339667
1749047871078,-0.46899324655532837,5.449055194854736,7.895118236541748,
1749047871095,,,,1.5706596180644874
1749047871129,,5.525625705718994,,
1749047871131,-0.5599204897880554,,7.942376613616943,1.5459752404129008
1749047871165,,,,1.3495995263100535
1749047871182,-0.7986045479774475,5.535196781158447,7.88913631439209,
1749047871199,,,,1.5896746571289952
1749047871234,-0.46899324655532837,5.544768333435059,8.13380241394043,1.5940009274880882
1749047871269,,,,1.391329469013438
1749047871286,-0.7459624409675598,5.6309099197387695,7.812565803527832,
1749047871304,,,,1.425527220788243
1749047871338,,5.645267009735107,,
1749047871339,-0.8512466549873352,,7.998608112335205,
1749047871340,-0.9421738982200623,,,1.1415117553159118
1749047871373,,,,0.9366339816186289
1749047871391,-1.2191431522369385,5.755336761474609,7.648059368133545,
1749047871410,,,,0.8751719510196102
1749047871443,-0.908674418926239,5.683551788330078,7.83111047744751,1.091438794316425
1749047871477,,,,0.9993979012332733
1749047871494,-1.0085747241973877,5.803193092346191,7.849654674530029,
1749047871512,,,,0.953286610644377
1749047871547,-1.0516455173492432,5.6069817543029785,7.978867053985596,
1749047871548,,,,0.9617356807851531
1749047871582,,,,1.0081232464202179
1749047871599,,5.974878311157227,,
1749047871600,-1.1563315391540527,,7.743174076080322,
1749047871616,,,,0.8789565347485986
1749047871650,,5.912664890289307,,
1749047871651,,5.974878311157227,7.671987533569336,
1749047871652,-1.01814603805542,,7.557132244110107,1.0784076928192614
1749047871687,,,,1.1908772278996402
1749047871704,-0.6071787476539612,5.826523303985596,7.610970497131348,
1749047871721,,,,1.3335415955654595
1749047871755,,5.553741455078125,,
1749047871756,0.1621137410402298,5.4867424964904785,7.767102241516113,1.7535664456507298
1749047871792,,,,1.4392165011532394
1749047871808,-0.08195417374372482,5.5968122482299805,7.809575080871582,
1749047871825,,,,1.1851171377689906
1749047871863,-0.20578274130821228,5.7547383308410645,8.21994400024414,1.1041402213810412
1749047871896,,,,1.2472464273554134
1749047871913,0.30508488416671753,5.568098068237305,8.178668022155762,
1749047871930,,,,1.3122393939737358
1749047871966,0.17647066712379456,5.606383323669434,7.987242221832275,1.1194630103600258
1749047871999,,,,1.2945717730996926
1749047872016,,5.55314302444458,,
1749047872017,0.5539384484291077,5.534000396728516,7.887341499328613,
1749047872034,,,,1.007585485158929
1749047872068,,5.562714576721191,8.197810173034668,
1749047872069,0.36251261830329895,,,1.035100510733995
1749047872104,,,,1.235573681550511
1749047872122,0.9212366938591003,5.333003520965576,8.583054542541504,
1749047872139,,,,1.343705243097177
1749047872174,,5.434100151062012,,
1749047872175,0.5252245664596558,5.410171985626221,8.61475944519043,0.7790681890654075
1749047872210,,,,0.7740555422812474
1749047872226,0.48035913705825806,4.6887359619140625,8.201399803161621,
1749047872243,,,,1.9924440704881623
1749047872281,2.1469600200653076,3.803391695022583,9.944570541381836,2.7666001836609695
1749047872313,,,,1.9403837339645422
1749047872332,1.6079767942428589,4.415954113006592,8.50169849395752,
1749047872347,,,,2.5698528400547285
1749047872385,2.2953150272369385,3.775275945663452,8.71645450592041,
1749047872386,,,,2.5581092433970767
1749047872418,,,,2.194014739231338
1749047872434,1.5595221519470215,3.971487283706665,9.321240425109863,
1749047872451,,,,2.584194275742258
1749047872486,2.347957134246826,4.037888050079346,8.361719131469727,2.6920679881734038
1749047872521,,,,2.3347757059396304
1749047872537,,4.601995944976807,,
1749047872538,1.947757601737976,4.5924248695373535,8.382058143615723,
1749047872555,,,,2.530514928261547
1749047872591,2.3916261196136475,4.353142738342285,8.642276763916016,2.6568937531327426
1749047872625,,,,2.4609116325835454
1749047872644,2.172683000564575,4.677968502044678,8.21994400024414,
1749047872662,,,,2.5662044637424053
1749047872697,2.105085611343384,4.53499698638916,7.785048484802246,
1749047872698,,,,2.432885227574062
1749047872729,,,,2.0190882538187833
1749047872747,1.6133606433868408,4.712066173553467,8.146963119506836,
1749047872764,,,,1.710449706613012
1749047872798,1.8562321662902832,4.420141696929932,7.94297456741333,
1749047872799,,,,2.3981007889476658
1749047872834,,,,2.380149178357645
1749047872851,1.566102385520935,5.151148796081543,7.504489898681641,
1749047872870,,,,1.3582291432462177
1749047872917,0.9445667266845703,4.826921463012695,8.51306438446045,1.7418981748092535
1749047872938,,,,1.8539703422363498
1749047872956,1.0456634759902954,5.395216941833496,8.382058143615723,
1749047872973,,,,1.4817629670357253
1749047873018,0.802193820476532,5.510072231292725,8.715856552124023,1.692854897438386
1749047873065,0.9272187948226929,5.667400360107422,9.403793334960938,2.0950259975012955
1749047873077,,,,1.8748964281086684
1749047873111,0.729810893535614,5.01296329498291,9.387042999267578,
1749047873112,,,,1.8337481491818024
1749047873147,,,,1.8370748689830982
1749047873166,0.503689169883728,4.029513359069824,9.691530227661133,
1749047873181,,,,1.5194061149320466
1749047873216,,3.490530014038086,,
1749047873217,-0.9314061999320984,,9.905089378356934,1.2992138282742296
1749047873251,,,,1.5963766854602655
1749047873269,-0.7034898400306702,2.7978079319000244,9.372686386108398,
1749047873285,,,,1.087553400065944
1749047873321,-1.079761266708374,3.3571300506591797,8.011768341064453,1.3283888610823107
1749047873356,,,,1.5509681108641011
1749047873372,,3.4474592208862305,8.276773452758789,
1749047873373,-0.03768695518374443,,,
1749047873399,,,,0.8621587230142639
1749047873433,-0.6675975322723389,4.011567115783691,7.952546119689941,
1749047873434,,,,1.2169650774406318
1749047873464,,,,1.4127084561357144
1749047873483,,3.996612071990967,,
1749047873484,0.0011964113218709826,,7.920841217041016,
1749047873501,,,,1.1508153574978557
1749047873532,,4.436293125152588,,
1749047873533,-0.16510476171970367,4.493122577667236,7.368697166442871,1.8470686447944384
1749047873564,,,,1.9236561654786462
1749047873583,0.7579265832901001,4.636094093322754,7.886743545532227,
1749047873601,,,,1.6316233415991934
1749047873635,0.6149554252624512,4.994419097900391,8.58784008026123,1.659391554697796
1749047873669,,,,2.0389230030034273
1749047873685,,5.275575637817383,,
1749047873686,1.179661512374878,5.3904314041137695,8.464012145996094,
1749047873703,,,,2.0555103815401625
