timestamp,AccZ,AccX,AccY,LinearAccelerometerSensor
1749047870701,8.821810722351074,-1.1227309703826904,4.748150825500488,
1749047870702,,,,0.7647016367913108
1749047870744,8.218097686767578,-0.7310545444488525,4.954501152038574,
1749047870748,,,,0.28037063561391784
1749047870782,8.084171295166016,-0.8780734539031982,4.941033840179443,
1749047870794,,,,0.6091117045538499
1749047870822,,-0.8927379846572876,,
1749047870823,8.643965721130371,,4.842796802520752,
1749047870837,,,,0.32972178891028586
1749047870861,,-1.0360159873962402,4.628889560699463,
1749047870862,8.850316047668457,,,
1749047870882,,,,0.36981565326031657
1749047870902,8.59765338897705,-1.2615197896957397,4.542548656463623,
1749047870928,,,,0.14941832592435234
1749047870941,8.601693153381348,-1.266083836555481,4.526762008666992,
1749047870972,,,,0.15444393634236106
1749047870981,,-1.1219828128814697,4.543521404266357,
1749047870982,8.50218391418457,,,
1749047871018,,,,0.17830428253022204
1749047871021,,-1.174505591392517,,
1749047871022,8.321197509765625,,4.670413970947266,
1749047871061,,-1.3376853466033936,,
1749047871062,8.330774307250977,,4.6746039390563965,0.2318461283345704
1749047871102,,-1.3563152551651,,
1749047871103,8.21996784210205,,4.7509942054748535,
1749047871110,,,,0.26654767620195013
1749047871143,8.210840225219727,-1.2519429922103882,4.812869071960449,
1749047871152,,,,0.39581305886931956
1749047871181,,-1.3718775510787964,4.8372602462768555,
1749047871182,8.414048194885254,,,
1749047871197,,,,0.27509944483209775
1749047871221,,-1.1808651685714722,4.850802421569824,
1749047871222,8.350152969360352,,,
1749047871245,,,,0.29740847790633057
1749047871261,8.325162887573242,-1.2291233539581299,5.011887073516846,
1749047871287,,,,0.4587727809727408
1749047871303,8.40544319152832,-1.12467622756958,4.995576858520508,
1749047871332,,,,0.45155516357798053
1749047871341,8.536151885986328,-1.1622352600097656,4.8831987380981445,
1749047871377,,,,0.25210353885937403
1749047871381,,-1.3578864336013794,,
1749047871382,8.531513214111328,,4.843694686889648,
1749047871421,8.139986038208008,-1.4685434103012085,4.8891096115112305,
