timestamp,AccX,AccY,AccZ,LinearAccelerometerSensor
1752852897820,-0.2944868206977844,3.359065055847168,8.621819496154785,1.0362866833018305
1752852897920,,,8.753500938415527,
1752852897921,-0.035913024097681046,4.0749311447143555,8.188468933105469,0.8122406325476693
1752852897933,,,,0.7598647026045776
1752852897996,-0.3734954595565796,3.8331170082092285,9.694421768188477,
1752852897997,,,,0.41912252950580187
1752852898046,-0.3711012601852417,3.7421371936798096,9.210793495178223,
1752852898068,,,,0.5781981447704033
1752852898118,-0.7541735172271729,3.2609026432037354,9.68005657196045,0.4874466133229324
1752852898169,,,9.201216697692871,
1752852898170,-0.44771572947502136,3.5721490383148193,9.31853199005127,
1752852898171,,,,0.2953740878193993
1752852898237,-0.43335050344467163,3.5482068061828613,8.98813247680664,0.35034667752684306
1752852898288,0.15083470940589905,3.9384617805480957,8.79659652709961,
1752852898290,,,,0.20273037320342066
1752852898340,,,8.80856704711914,
1752852898341,-0.15801730751991272,3.869029998779297,,
1752852898359,,,,0.18336285620734175
1752852898401,-0.47884035110473633,3.8546648025512695,9.215581893920898,
1752852898410,,,,0.40479504029063645
1752852898470,-0.5626373887062073,3.9169139862060547,9.019257545471191,
1752852898475,,,,0.5852632075957778
1752852898521,,,9.004891395568848,
1752852898522,0.21308395266532898,3.4404678344726562,,
1752852898545,,,,0.7860112635312615
1752852898580,,,9.718363761901855,
1752852898581,0.5937620401382446,3.35667085647583,9.613018989562988,
1752852898595,,,,0.3117488177337499
1752852898640,,,9.275436401367188,
1752852898641,-0.2777273952960968,3.4979286193847656,9.249100685119629,
1752852898656,,,,0.4029608872982584
1752852898706,-0.21787235140800476,,9.093477249145508,
1752852898707,,3.890577793121338,,
1752852898729,,,,0.5961044210576225
1752852898765,-0.4692635238170624,4.177882194519043,8.676886558532715,
1752852898776,,,,0.43801667154385987
1752852898821,,,8.767866134643555,
1752852898822,0.043095629662275314,3.8762125968933105,8.978555679321289,
1752852898843,,,,0.23611154168610177
1752852898883,0.16519992053508759,3.9624037742614746,9.35205078125,
1752852898890,,,,0.26130409985598624
1752852898940,,,9.019257545471191,
1752852898941,-0.19632454216480255,3.93367338180542,,
1752852898956,,,,0.47303731390491227
1752852899007,,,8.755894660949707,
1752852899008,-0.42616790533065796,3.9480385780334473,,
1752852899012,,,,0.16239130827937007
