timestamp,AccX,AccY,AccZ,LinearAccelerometerSensor
1752802983419,-0.2513911724090576,2.4851813316345215,9.234735488891602,0.26915990430990216
1752802983450,,,,0.21569525431110936
1752802983473,-0.2585737705230713,2.38462495803833,9.80216121673584,
1752802983523,-0.31603461503982544,2.274491548538208,9.56274127960205,0.16176209536909275
1752802983589,,,,0.25925842043684816
1752802983590,-0.30885201692581177,2.33913516998291,9.735123634338379,
1752802983638,,,,0.27303775450136597
1752802983640,-0.2346317619085312,2.4013843536376953,9.58907699584961,
1752802983690,,,,0.1516227533578123
1752802983700,-0.15562310814857483,2.516305923461914,9.603442192077637,
1752802983759,0.1604115068912506,2.4827871322631836,9.486125946044922,0.355504317128651
1752802983810,,,,0.15677070282352967
1752802983819,,,9.452607154846191,
1752802983820,0.10295066982507706,2.427720546722412,9.38556957244873,
1752802983880,,,,0.17513626234706178
1752802983881,-0.05506663769483566,2.583343744277954,9.22515869140625,
1752802983931,,,,0.21069033588525324
1752802983941,,,9.488520622253418,
1752802983943,-0.31124621629714966,2.4684219360351562,,
1752802983999,,,,0.31001552973579916
1752802984000,-0.3998316824436188,2.4636335372924805,9.71357536315918,
1752802984050,,,,0.2717283374000918
1752802984060,-0.3495534360408783,2.537853717803955,9.608230590820312,
1752802984119,,,,0.23007920852690963
1752802984120,-0.5219359993934631,2.5977089405059814,9.512462615966797,
1752802984171,,,,0.36811824280733635
1752802984179,,,9.354445457458496,
1752802984180,,,9.428665161132812,
1752802984181,-0.6129156351089478,2.647987127304077,,
1752802984243,,,,0.3086564446997388
1752802984244,-0.6512228846549988,2.535459518432617,9.416694641113281,
1752802984292,,,,0.2578210540277178
1752802984299,-0.5889736413955688,2.5522189140319824,9.342473983764648,
1752802984360,,,9.435848236083984,0.1669716236771085
1752802984361,-0.5746083855628967,2.6168625354766846,,
1752802984411,,,,0.15050432935298472
1752802984420,-0.5746083855628967,2.6216509342193604,9.567529678344727,
1752802984480,,,,0.3269244209915685
1752802984482,-0.4668693244457245,2.669534921646118,9.814131736755371,
1752802984531,,,,0.19571063470803707
1752802984539,,,9.58907699584961,
1752802984540,,,9.593865394592285,
1752802984541,-0.3758896589279175,2.5905263423919678,,
1752802984600,-0.2777273952960968,2.5474305152893066,9.538799285888672,0.22614074782726185
1752802984651,,,,0.10986406961793961
1752802984659,,,9.328108787536621,
1752802984660,-0.43095630407333374,2.652775526046753,,
1752802984720,-0.2777273952960968,2.6240451335906982,9.507674217224121,0.19749718473938885
1752802984771,,,,0.27804754175126045
1752802984780,-0.26096799969673157,,9.251494407653809,
1752802984781,,2.7222073078155518,,
1752802984839,,,9.495702743530273,0.2447391421531981
1752802984840,-0.15562310814857483,2.650381326675415,,
1752802984890,,,,0.2197224425883286
1752802984900,-0.10295066982507706,2.7748796939849854,9.478943824768066,
1752802984961,,,,0.565584994845603
1752802984962,-0.14604631066322327,3.0885202884674072,9.627384185791016,
1752802985011,,,,0.2785533932923393
1752802985020,0.2537853717803955,2.4684219360351562,9.665691375732422,
1752802985078,,,,0.6965568637405947
