timestamp,AccZ,AccX,AccY,LinearAccelerometerSensor
1749220176089,8.372897148132324,-1.447818636894226,3.6104562282562256,
1749220176120,,,,0.8458634504271323
1749220176126,7.817667007446289,-2.3440730571746826,4.5767412185668945,
1749220176150,,,,0.8683229178782076
1749220176165,7.493177890777588,-2.416273355484009,4.647968292236328,
1749220176191,,,,0.8574013674983836
1749220176205,7.925256729125977,-2.768071174621582,4.573374271392822,
1749220176230,,,,0.5974680286297168
1749220176245,7.7375359535217285,-2.5748143196105957,4.438401222229004,
1749220176270,,,,0.8302495801787333
1749220176285,7.5727105140686035,-3.0528316497802734,4.793117046356201,
1749220176310,,,,0.6542817754568918
1749220176325,7.576900005340576,-2.7106852531433105,5.107430934906006,
1749220176350,,,,1.0113946697551026
1749220176365,7.239841461181641,-2.2846670150756836,5.589712619781494,
1749220176390,,,,1.002111768153881
1749220176405,7.911714553833008,-1.9221699237823486,5.784989833831787,
1749220176430,,,,1.0777432415422243
1749220176445,7.154098987579346,-2.084077835083008,5.509731292724609,
1749220176470,,,,1.0295807014615919
1749220176484,7.688455104827881,,,
1749220176485,,-2.427645683288574,5.33697509765625,
1749220176510,,,,1.1721561348974106
1749220176524,9.15617561340332,-2.001777172088623,5.169904708862305,
1749220176550,,,,0.9362991271225449
1749220176565,8.59421157836914,-3.003002405166626,5.305850028991699,
1749220176591,,,,0.7972695738840877
1749220176605,9.341876029968262,-0.6973112225532532,7.293935298919678,
1749220176630,,,,4.667887028573361
1749220176644,10.939631462097168,0.21113866567611694,6.018649101257324,
1749220176670,,,,1.7881517382545664
1749220176684,8.516100883483887,,,
1749220176685,,-2.1681740283966064,2.9869911670684814,
1749220176712,,,,3.2554992220289884
1749220176724,9.032051086425781,,,
1749220176725,,-3.331157684326172,3.085602283477783,
1749220176750,,,,2.480388489874008
1749220176765,9.825654029846191,-0.11679214984178543,2.4298155307769775,
1749220176791,,,,3.091536529626275
1749220176804,7.810708999633789,,,
1749220176805,,1.1786954402923584,3.426626443862915,
1749220176830,,,,2.431655626365624
1749220176844,7.507543087005615,0.7476642727851868,3.757624864578247,
1749220176870,,,,1.7319147341798085
1749220176884,8.6089506149292,,,
1749220176885,,0.532934308052063,4.149974346160889,
1749220176910,,,,1.7075556248642723
1749220176924,9.641674995422363,-0.03703530877828598,4.270881652832031,
1749220176950,,,,0.8937787884964116
1749220176965,9.039234161376953,,,
1749220176966,,-1.2295721769332886,3.9612815380096436,
1749220176990,,,,0.38545272203143166
1749220177004,8.370278358459473,,,
1749220177005,,-1.2856115102767944,4.283376693725586,
1749220177030,,,,1.0658404627470326
1749220177044,7.856573104858398,-0.5754314064979553,5.217414379119873,
1749220177070,,,,1.9290542490140183
1749220177084,8.461856842041016,0.3126677870750427,5.205667972564697,
1749220177110,,,,1.5576263714462792
1749220177124,9.2748384475708,-0.42871174216270447,4.505513668060303,
1749220177150,,,,0.976760294910519
