timestamp,AccX,AccY,AccZ,LinearAccelerometerSensor
1753227528587,0.10347440838813782,4.717474937438965,5.454664707183838,
1753227528588,,,,2.6423605908997523
1753227528638,-0.5339818000793457,4.904447555541992,6.731447696685791,2.2525594776696694
1753227528668,-1.8706945180892944,7.62605619430542,8.183156967163086,
1753227528679,,,,1.2813222446077617
1753227528708,-2.5071780681610107,9.302596092224121,8.715343475341797,
1753227528723,,,,3.586665193942688
1753227528748,-2.560598611831665,8.042946815490723,9.201516151428223,
1753227528768,,,,2.8693008326187073
1753227528788,-2.695272445678711,6.707430839538574,11.4757080078125,
1753227528813,,,,4.524671949434566
1753227528827,-3.5250132083892822,6.970119476318359,10.386271476745605,
1753227528858,,,,3.7895092258403977
1753227528867,-2.313995838165283,7.618873596191406,7.96640682220459,
1753227528903,,,,2.3485226674731097
1753227528907,-0.6070797443389893,7.411176681518555,6.971167087554932,
1753227528947,,,,2.036674182376428
1753227528948,,6.041019916534424,7.3838677406311035,
1753227528949,0.06995557993650436,,,
1753227528987,,3.868431329727173,7.326855659484863,
1753227528988,0.08439560979604721,,,
1753227528993,,,,1.0720454756072708
1753227529027,-0.554631769657135,3.3493385314941406,6.852728843688965,
1753227529038,,,,2.3171019257314764
1753227529067,-0.6047604084014893,3.472565174102783,6.4928507804870605,
1753227529083,,,,2.337116365009447
1753227529107,-0.11230302602052689,3.0124294757843018,6.741249084472656,
1753227529128,,,,2.7409919240861096
1753227529147,-0.8298153281211853,3.04602313041687,6.9520134925842285,
1753227529174,,,,2.5717416981373686
1753227529188,-1.828347086906433,3.149198293685913,5.9193644523620605,
1753227529217,,,,3.417264157287041
1753227529227,-2.072181463241577,4.38730001449585,5.137433052062988,
1753227529262,,,,3.634224565956372
1753227529267,-1.7033249139785767,3.879429817199707,7.325882911682129,
1753227529307,-3.510498285293579,4.689567565917969,7.833528518676758,
1753227529308,,,,1.3696542339737026
1753227529347,,6.288819789886475,8.73576831817627,
1753227529348,-2.7363481521606445,,,
1753227529353,,,,3.8119552723441092
1753227529387,-0.10280103236436844,4.855441093444824,12.949414253234863,
1753227529398,,,,2.4474029867800087
1753227529427,1.3504046201705933,1.770961046218872,15.746365547180176,
1753227529443,,,,6.839118958332331
1753227529467,,2.866083860397339,,
1753227529468,0.2899228632450104,,14.398579597473145,
1753227529488,,,,6.60546384119791
1753227529508,0.4197334945201874,4.428001403808594,11.660435676574707,
1753227529533,,,,2.408703927518514
1753227529547,1.7142484188079834,4.78817892074585,9.697863578796387,
1753227529580,,,,2.1679364176220783
1753227529587,0.6327426433563232,4.174440383911133,9.116745948791504,
1753227529622,,,,0.53543726650147
1753227529627,-0.24443303048610687,3.2934489250183105,8.422652244567871,
1753227529667,0.14417582750320435,2.4763526916503906,7.874828815460205,
1753227529668,,,,1.102002428014057
1753227529708,0.46245503425598145,2.65210223197937,7.773449420928955,
1753227529712,,,,2.0467373168298866
1753227529747,0.8595932126045227,2.8128128051757812,7.558494567871094,
1753227529758,,,,2.2464240585929875
1753227529787,1.2321908473968506,2.8134114742279053,7.43025541305542,
1753227529803,,,,2.3869507921865645
1753227529827,0.8462006449699402,2.791564464569092,6.74498987197876,
1753227529847,,,,3.0253003121102853
1753227529868,0.2486976981163025,3.457601308822632,6.869712829589844,
1753227529892,,,,2.2257213409062966
1753227529908,0.6300491690635681,3.8734443187713623,6.907945156097412,
1753227529937,,,,2.501132136536673
1753227529947,-1.1314098834991455,4.500500679016113,6.273182392120361,
1753227529982,,,,2.1064009434073103
1753227529986,-3.0236523151397705,7.720552444458008,7.186121463775635,
1753227530027,0.07085340470075607,7.096339225769043,10.41148567199707,4.082248751307754
1753227530067,0.68182373046875,3.691185712814331,13.037026405334473,
1753227530072,,,,3.591313473239802
1753227530108,-1.9427450895309448,3.597288131713867,13.997251510620117,
1753227530117,,,,5.3986611437258585
1753227530148,-1.8134582042694092,4.139500141143799,12.054431915283203,
1753227530162,,,,4.727889954346458
1753227530187,-1.498845100402832,4.846612453460693,8.912790298461914,
1753227530208,,,,1.3754077653540036
1753227530227,-1.5171009302139282,4.75271463394165,8.426094055175781,
1753227530252,,,,0.7621986246958936
1753227530266,,4.337919235229492,,
1753227530267,-1.3647698163986206,,8.716614723205566,
1753227530297,,,,0.8323462879334849
1753227530306,-1.4240262508392334,3.6361937522888184,8.137666702270508,
1753227530342,,,,1.6382146658985022
1753227530346,-1.4689176082611084,3.418396234512329,7.920168876647949,
1753227530386,-1.3742717504501343,3.4992005825042725,7.800757884979248,
1753227530387,,,,1.9115024807549936
1753227530426,-1.7865982055664062,3.6348471641540527,6.778134822845459,
1753227530432,,,,2.1263007502523443
1753227530467,-1.866579532623291,3.3447744846343994,6.070498466491699,
1753227530477,,,,2.871059370808198
1753227530506,-2.0622305870056152,4.855515956878662,6.523227214813232,
1753227530522,,,,2.5880628075090395
1753227530546,-0.9371055364608765,5.226691722869873,7.24373197555542,
1753227530567,,,,1.56594248158628
