timestamp,AccX,AccY,AccZ,LinearAccelerometerSensor
1752621946540,-1.4177473783493042,3.4737801551818848,9.359525680541992,
1752621946571,,,,1.1969611074683038
1752621946604,-0.5054838061332703,4.211966037750244,8.026124954223633,
1752621946612,,,,1.3028364012884883
1752621946657,,,,0.8765470248401588
1752621946668,,4.023531436920166,8.785846710205078,
1752621946669,-0.11665010452270508,3.799204111099243,8.808578491210938,
1752621946699,,,,0.7230632151566282
1752621946733,-0.776470959186554,3.4989049434661865,9.354142189025879,
1752621946734,,2.8695926666259766,,
1752621946742,,,,1.430228542658347
1752621946786,,,,2.0950685590938227
1752621946799,,1.5176477432250977,,
1752621946800,-2.7433712482452393,,8.837292671203613,
1752621946829,,,,1.1396142844972217
1752621946864,,4.3172502517700195,,
1752621946866,0.2183450609445572,3.8321053981781006,8.974281311035156,
1752621946873,,,,1.9348523292083288
1752621946917,,,,0.896207080914737
1752621946929,-1.333998680114746,3.407379388809204,8.74038314819336,
1752621946930,-2.079961061477661,3.266202926635742,9.987641334533691,
1752621946960,,,,1.206285165857223
1752621946995,-2.022533416748047,3.3930225372314453,10.419546127319336,
1752621946996,-2.0099709033966064,,,
1752621947004,,,,1.0089534245262064
1752621947047,,,,0.3546230400429296
1752621947060,-1.6169499158859253,3.425325632095337,9.180662155151367,
1752621947090,,,,0.6644266588612843
1752621947125,,2.9874391555786133,,
1752621947127,-1.3387842178344727,3.064607620239258,9.141778945922852,
1752621947134,,,,0.7352306170251492
1752621947178,,,,0.6710879351149711
1752621947191,,3.071187973022461,8.608179092407227,
1752621947192,-1.119242787361145,,8.633902549743652,
1752621947221,,,,0.8955717739945769
1752621947255,-1.6145570278167725,3.1920254230499268,9.011968612670898,
1752621947264,,,,2.5928233686046704
1752621947309,,,,1.1615045079288702
1752621947320,-2.029113531112671,3.2823543548583984,8.656036376953125,
1752621947351,,,,1.9041682273251783
1752621947386,0.6101697683334351,4.53499698638916,8.087740898132324,
1752621947395,,,,2.2850675647187306
1752621947438,,,,1.0338706616575963
1752621947451,-0.26979073882102966,3.9631125926971436,7.697112083435059,
1752621947482,,,,2.3739600665454526
1752621947516,-2.6763720512390137,2.3306093215942383,11.319846153259277,
1752621947525,,,,1.217771332837621
1752621947569,,,,0.9166264561301224
1752621947581,-2.132004976272583,3.2159535884857178,8.94676399230957,
1752621947612,,,,1.318629936429608
1752621947646,,2.7397818565368652,,
1752621947647,-2.235494613647461,3.2338998317718506,8.284550666809082,
1752621947655,,,,0.9138472213895728
1752621947699,,,,1.262648532174939
1752621947712,-1.2867404222488403,3.1998021602630615,8.407182693481445,
1752621947742,,,,0.5407380862288202
1752621947776,-1.8867406845092773,2.626721143722534,10.8969144821167,
1752621947785,,,,1.4509742982245675
1752621947831,,,,0.8585115429830397
1752621947842,-2.582453727722168,2.462214469909668,9.57188892364502,
1752621947873,,,,0.7302728482060632
1752621947907,,2.547757863998413,,
1752621947909,-1.5517455339431763,2.5609183311462402,9.038289070129395,
1752621947916,,,,0.28785603288255984
1752621947963,,,,1.0844710623546088
1752621947972,,2.74755859375,,
1752621947973,-2.1194427013397217,,8.558527946472168,
1752621948003,,,,0.5413613161759142
1752621948037,,2.252244234085083,,
1752621948038,-1.563111424446106,1.9591234922409058,9.958928108215332,
1752621948047,,,,1.4513302456062587
1752621948090,,,,0.5257064834194929
1752621948104,-1.2993026971817017,2.2755744457244873,9.763314247131348,
1752621948134,,,,1.3206852493949346
1752621948167,,1.835893154144287,,
1752621948168,-0.7208378314971924,2.2618155479431152,9.650253295898438,
1752621948177,,,,0.9888904789549894
1752621948221,,,,0.7074928252324769
1752621948233,-0.8584251403808594,2.3294129371643066,9.240483283996582,
1752621948234,,2.620140790939331,9.20578670501709,
1752621948264,,,,0.46584070508932535
1752621948302,,3.5676984786987305,,
1752621948303,-2.241476535797119,4.570291042327881,8.081758499145508,
1752621948308,,,,4.487883043013006
1752621948352,,,,1.2380665493704957
1752621948363,-1.8939191102981567,1.9166508913040161,9.704092025756836,
1752621948395,,,,0.45722181471714685
1752621948428,,2.9138598442077637,,
1752621948429,-2.032104730606079,2.988635540008545,8.85344409942627,
1752621948438,,,,0.6806613040906491
1752621948481,,,,0.8008916639175433
1752621948494,-1.8442680835723877,2.7020950317382812,8.493922233581543,
1752621948495,-2.146361827850342,2.490330219268799,8.873783111572266,
1752621948526,,,,0.7388815482889568
1752621948560,-2.025524377822876,2.45204496383667,9.040681838989258,
1752621948569,,,,0.9165051744276489
1752621948612,,,,0.23000293468075067
1752621948624,-1.6247265338897705,2.8731818199157715,9.221938133239746,
